round,accuracy,loss
0,0.1,2.304692201976535
1,0.1468,2.2923847120019456
2,0.142,2.263884508157078
3,0.1815,2.251700277569928
4,0.2244,2.2364170792736586
5,0.2109,2.2274627595008174
6,0.2129,2.218672015998937
7,0.2467,2.203827990761286
8,0.2458,2.1952397974231577
9,0.2861,2.1871471042874493
10,0.2537,2.1831992396825477
11,0.2687,2.1755128027517583
12,0.269,2.1739284147190143
13,0.2803,2.1659897158417523
14,0.2896,2.1621445009980023
15,0.2769,2.15965752360187
16,0.3093,2.158863876439348
17,0.2942,2.157969230337988
18,0.2882,2.1598559934881667
19,0.277,2.1609316868118094
20,0.2895,2.1500078303904475
