round,accuracy,loss
0,0.1038,2.307281135003778
1,0.1186,2.3023837125754056
2,0.1042,2.3020082334928875
3,0.1449,2.3022131286089933
4,0.1,2.302536324609684
5,0.1,2.302585007269171
6,0.1,2.3025830033459243
7,0.1,2.302586398547209
8,0.1,2.302583513380606
9,0.1,2.302572675898105
10,0.1,2.3025997711133352
11,0.1,2.302592153790631
12,0.1,2.3025805618189557
13,0.1,2.3025896307788316
14,0.1,2.302584433857399
15,0.1,2.3026182078108004
16,0.1,2.302586045446275
17,0.1,2.3025919274438786
18,0.1,2.3025929958005493
19,0.1,2.302600721769695
20,0.1,2.3026155308832097
