round,accuracy,loss
0,0.1,2.303781171388264
1,0.0789,2.7176283733754216
2,0.176,2.570339963405947
3,0.195,2.493666289727899
4,0.2392,2.3924306133125404
5,0.2415,2.112573235849791
6,0.2276,2.259515985657897
7,0.2329,2.2333564547043814
8,0.2213,2.1401907597916034
9,0.2542,2.2264307179028475
10,0.2504,2.102855578253541
11,0.238,2.023301077794425
12,0.2665,2.041038950787315
13,0.2304,2.1070112623745882
14,0.2535,2.041830132279215
15,0.2381,2.106481113011324
16,0.212,2.2546061669723896
17,0.2284,2.074626134920724
18,0.2067,2.203879451449913
19,0.2232,2.1585729197610783
20,0.2535,1.9693328051627437
