round,accuracy,loss
0,0.0951,2.3047588143167617
1,0.203,2.275303200830387
2,0.2691,1.996672195724294
3,0.3233,1.8350970820535588
4,0.3849,1.6786538030527816
5,0.4224,1.5896626062031034
6,0.4445,1.5139274627347536
7,0.4722,1.4543746740003176
8,0.4896,1.4012901405744915
9,0.5103,1.357726678063598
10,0.5185,1.3388176673575292
11,0.5323,1.3043098947669887
12,0.5396,1.2839073425606837
13,0.5522,1.2613859750047516
14,0.5573,1.2436903488786915
15,0.5655,1.231431033037886
16,0.5682,1.2178323404698432
17,0.5739,1.2051736916167826
18,0.5847,1.1899238515503798
19,0.5858,1.1891546807711637
20,0.5826,1.1817696584930903
