round,accuracy,loss
0,0.102,2.3048413946658752
1,0.2127,2.2777096138724797
2,0.2491,1.9925291960752463
3,0.3428,1.785629802112338
4,0.3742,1.699708583988721
5,0.3882,1.683417113521431
6,0.4128,1.6002636091618598
7,0.4134,1.5930650475658947
8,0.4316,1.5605671873575524
9,0.4467,1.5039375960072385
10,0.4184,1.565920128098017
11,0.4678,1.4794314330137228
12,0.4698,1.4799632633788675
13,0.458,1.4828552203842356
14,0.4943,1.4421790566625474
15,0.4806,1.4591481972344313
16,0.493,1.4305493137504481
17,0.4989,1.4043599608578259
18,0.481,1.4291066821617415
19,0.5328,1.3700078997430922
20,0.5119,1.3889413558984105
