round,accuracy,loss
0,0.1,2.304903458945359
1,0.1375,2.2867261699483366
2,0.2479,2.0155816817585426
3,0.3015,1.890100554574894
4,0.3191,1.805954634388791
5,0.3889,1.6715126958074449
6,0.3966,1.6171791628946233
7,0.41,1.5748212307314329
8,0.4288,1.5583034044579616
9,0.4573,1.4969837846635263
10,0.4472,1.526824890812741
11,0.4574,1.4735136318810378
12,0.4694,1.4792543015902555
13,0.4751,1.4748146594325198
14,0.4747,1.497702008561243
15,0.5015,1.40077429029006
16,0.4939,1.4236313044270383
17,0.5005,1.410812349259099
18,0.4914,1.4131280274330815
19,0.5102,1.3788739895518822
20,0.5027,1.4170891725564305
