round,accuracy,loss
0,0.1,2.3055026199244244
1,0.1227,2.2913155585904663
2,0.2544,2.0567549829241596
3,0.2802,1.9659187386307535
4,0.3262,1.790174949018261
5,0.3807,1.7050257589243636
6,0.3975,1.611185549180719
7,0.4201,1.5796543163589285
8,0.4436,1.5528017448473581
9,0.4495,1.5030894717083703
10,0.449,1.5676711918432502
11,0.4616,1.5349072700814357
12,0.4586,1.4902295734308943
13,0.4498,1.53457592710664
14,0.4804,1.481305346458773
15,0.4707,1.4895025159739241
16,0.4934,1.408174282387842
17,0.5006,1.3991478198691258
18,0.5146,1.3879873360259622
19,0.5098,1.3803209730341464
20,0.5159,1.3552271957638897
