round,accuracy,loss
0,0.1,2.305137579954123
1,0.1185,2.298450560509404
2,0.2037,2.2393369825580454
3,0.2636,2.192377546165563
4,0.2833,2.161553742010382
5,0.2913,2.145437080648881
6,0.3108,2.12022228784199
7,0.3034,2.106925363782086
8,0.3221,2.080343276639528
9,0.3468,2.0786740085746667
10,0.3531,2.0588542087168635
11,0.3576,2.053498035744776
12,0.3667,2.0499009618276283
13,0.3696,2.034391056133222
14,0.3753,2.0226505602462383
15,0.3665,2.0243262248703195
16,0.3768,2.0148714056497887
17,0.3808,2.007931291302548
18,0.3654,2.0118285191210012
19,0.3793,2.0060133828392512
20,0.365,2.01146581806714
