round,accuracy,loss
0,0.1,2.3052377278291725
1,0.1,2.302373113511484
2,0.1,2.3026170609872554
3,0.1,2.3026002419145803
4,0.1,2.302603006362915
5,0.1,2.3026008756854868
6,0.1,2.3026023363765282
7,0.1,2.302605194381521
8,0.1,2.302606558497948
9,0.1,2.3026049076756343
10,0.1,2.302603794049613
11,0.1,2.302604267868815
12,0.1,2.3026167169401917
13,0.1,2.3026109013376357
14,0.1,2.3026098752323585
15,0.1,2.3026106840447533
16,0.1,2.3026143870776212
17,0.1,2.3026069719580153
18,0.1,2.3026209269897846
19,0.1,2.302607216412508
20,0.1,2.3026048473165006
