round,accuracy,loss
0,0.0961,2.3044769220714327
1,0.0805,2.300925948951818
2,0.2273,2.131752807882768
3,0.3247,1.8581297397613525
4,0.3675,1.728857933720456
5,0.4055,1.6336163342753542
6,0.4243,1.5638458774059634
7,0.4358,1.5495401243620281
8,0.4576,1.4863130080549023
9,0.4651,1.4737300284301178
10,0.4786,1.4337691974036302
11,0.4935,1.4154638927194136
12,0.4818,1.441812969461272
13,0.479,1.4171772199341013
14,0.4946,1.4112500721895243
15,0.4875,1.4267133293272574
16,0.4852,1.4523926324482206
17,0.4907,1.428156039382838
18,0.5005,1.4020215484160412
19,0.4971,1.433053217356718
20,0.5103,1.3853640224360213
